,Text1,Text2,label
21,"[13604, 13236, 16219, 90682, 10155, 14978, 71328, 10894, 50188, 10105, 22274, 112, 187, 12185, 20511, 117, 28357, 16711, 71328, 10114, 18322, 10452, 13387, 10105, 22274, 112, 187, 32185, 34495, 11371, 10379, 84874, 10230, 17981, 30381, 10108, 14625, 119, 102]","[37293, 71328, 112, 19299, 90682, 10894, 50188, 10105, 22274, 112, 187, 12185, 20511, 117, 28357, 16711, 71328, 10114, 10798, 35024, 10452, 13387, 10105, 22274, 112, 187, 32185, 34495, 11371, 10379, 84874, 10230, 17981, 30381, 10108, 14625, 119, 102]",0
22,"[10377, 112, 187, 12820, 10105, 17967, 106, 107, 102]","[138, 14772, 43610, 10124, 10978, 10114, 16135, 106, 102]",1
23,"[528, 32418, 10385, 10593, 12450, 10513, 117, 558, 19837, 117, 10791, 572, 10702, 29305, 85854, 14149, 38419, 16173, 13248, 10316, 50341, 119, 102]","[19196, 57132, 558, 89038, 10191, 31900, 11323, 44422, 11742, 119, 102]",2
24,"[16032, 112, 187, 12504, 118, 30870, 100781, 10715, 11249, 117, 10105, 13967, 117, 13854, 10146, 169, 14589, 118, 15975, 11356, 50007, 30767, 10189, 109048, 10206, 13192, 17686, 11763, 10393, 13457, 58277, 93399, 11327, 16942, 10230, 12249, 16624, 34847, 82710, 10160, 10105, 11956, 14100, 10106, 10829, 119, 102]","[10117, 13967, 20562, 18123, 14234, 10924, 11898, 12211, 10550, 14424, 119, 102]",1
25,"[12404, 82576, 22698, 10113, 63838, 10106, 23283, 102]","[23283, 11179, 12404, 82576, 22698, 10113, 112, 187, 10751, 11816, 119, 102]",2
26,"[10377, 11337, 10347, 32992, 11369, 21793, 27138, 11369, 106, 107, 102]","[10377, 11337, 10347, 38356, 44762, 11130, 119, 102]",0
27,"[149, 55572, 14789, 10432, 21772, 14789, 18323, 29656, 33493, 11213, 13803, 21098, 14537, 22072, 10447, 30608, 60054, 119, 102]","[144, 10116, 80343, 10447, 89726, 34514, 19787, 61334, 21772, 192, 26596, 10432, 180, 55572, 93346, 10133, 102]",0
28,"[10365, 10159, 10120, 62103, 92608, 58037, 169, 26080, 10121, 10109, 56265, 10104, 92734, 53018, 10104, 10109, 25923, 24053, 10121, 10126, 10279, 10104, 30479, 10220, 15290, 71400, 10125, 18137, 11273, 169, 10109, 83999, 11564, 58037, 119, 102]","[10365, 10159, 10120, 62103, 92608, 59216, 10104, 10285, 92734, 53018, 119, 102]",0
29,"[10357, 22153, 10588, 10301, 19353, 119, 102]","[10357, 12415, 10189, 10105, 10588, 10309, 10472, 19353, 119, 102]",2
30,"[35458, 483, 14669, 12649, 47664, 77492, 13140, 117, 12311, 474, 14669, 68869, 42881, 26954, 92617, 485, 57530, 20146, 62913, 14669, 24739, 12526, 475, 21183, 34518, 10484, 465, 31625, 37351, 17302, 28388, 10358, 480, 19582, 95624, 44055, 44306, 12526, 485, 19038, 47275, 108420, 79261, 20812, 69671, 20812, 483, 23487, 47664, 34518, 10484, 117, 469, 25593, 31693, 106521, 468, 19329, 54772, 16146, 21263, 66785, 69671, 20812, 47330, 28506, 14669, 50869, 11180, 483, 30618, 107421, 10358, 487, 26401, 64037, 20736, 31625, 44734, 26011, 477, 47664, 16462, 480, 30645, 19582, 54772, 43967, 11351, 10649, 474, 13140, 62913, 13517, 96504, 96368, 11180, 465, 31625, 37351, 17302, 28388, 119, 102]","[15503, 474, 14669, 68869, 42881, 26954, 92617, 53720, 29223, 33635, 111053, 31712, 31625, 12526, 465, 16146, 58781, 34672, 11068, 16902, 58046, 36956, 11099, 69671, 82142, 11883, 119, 102]",2
31,"[16423, 67929, 23559, 13605, 10133, 10549, 66289, 97839, 10305, 11037, 48350, 15471, 10138, 61001, 10466, 10549, 15694, 51892, 10116, 14266, 10911, 10390, 99830, 91931, 64785, 13784, 119, 102]","[18992, 10116, 57087, 49588, 62123, 77155, 11959, 177, 12577, 11859, 49311, 10116, 58628, 10213, 10911, 10390, 99830, 91931, 10853, 10320, 119, 102]",0
32,"[11023, 12257, 189, 10237, 118, 26506, 10237, 183, 10237, 11023, 12257, 32784, 12141, 74167, 10107, 10111, 24682, 102]","[40690, 117, 32784, 12141, 10111, 10684, 24682, 119, 102]",0
33,"[11741, 10320, 63784, 10116, 15694, 12739, 11037, 14266, 62322, 17489, 17938, 16119, 11471, 38516, 11952, 44874, 11471, 92304, 10138, 10549, 40091, 44874, 13080, 15673, 10116, 15926, 13743, 90618, 10449, 10549, 10879, 69082, 10549, 105342, 32926, 117, 58671, 55155, 10414, 38989, 10549, 10741, 15998, 11471, 10817, 16818, 21833, 10138, 13743, 16803, 47540, 11282, 84381, 119, 102]","[24847, 13903, 10133, 57069, 10414, 10824, 80056, 14266, 10741, 15998, 14266, 75131, 57069, 55415, 13784, 14266, 13587, 10116, 158, 62004, 16119, 11471, 160, 12521, 67522, 10116, 11471, 13539, 11952, 44874, 11471, 103695, 19065, 10506, 22056, 17019, 15926, 13743, 90618, 10449, 10339, 28941, 69082, 119, 102]",0
34,"[2148, 6045, 10064, 6098, 5515, 5488, 3031, 7838, 4099, 2778, 2363, 5718, 7700, 2159, 8458, 5407, 2558, 10064, 3740, 5322, 2135, 2756, 2204, 7641, 2778, 3099, 4476, 5933, 2551, 100, 100, 91075, 94954, 1882, 102]","[4285, 3666, 7699, 4917, 4461, 4181, 2555, 2212, 2253, 4461, 2457, 8458, 2854, 2558, 3978, 4380, 5933, 2551, 5718, 2149, 1882, 102]",2
35,"[10117, 17122, 84660, 49126, 41203, 18545, 11270, 28330, 113, 12211, 20664, 87112, 10104, 41203, 18545, 11270, 114, 117, 10124, 17611, 13010, 10146, 10105, 10992, 54156, 11189, 10106, 10105, 11584, 119, 102]","[10117, 41203, 18545, 11270, 28330, 10124, 14289, 10105, 10992, 38171, 85805, 10350, 119, 102]",0
36,"[125, 114, 16040, 21408, 10124, 11053, 10978, 14796, 10446, 13207, 10891, 104984, 34495, 51742, 10169, 18527, 119, 102]","[10117, 30360, 10106, 10319, 18527, 60600, 10107, 10446, 13207, 10891, 104984, 34495, 10124, 169, 20036, 11951, 16938, 112, 188, 10529, 21408, 12929, 10135, 119, 102]",0
37,"[177, 10392, 48886, 10162, 15102, 10189, 11951, 10149, 10529, 10380, 11299, 10189, 10301, 10106, 25674, 12935, 19353, 102]","[146, 10392, 48886, 10162, 10189, 10472, 11299, 10108, 11345, 10301, 10106, 25674, 12935, 19353, 119, 102]",2
38,"[10236, 12882, 53209, 97209, 62684, 32341, 14618, 10408, 48850, 26645, 36174, 36845, 10760, 11190, 15000, 10307, 88342, 50152, 94379, 117, 45493, 10953, 131, 52712, 10216, 10130, 12045, 21969, 10107, 19360, 28919, 11280, 119, 102]","[12882, 53209, 97209, 62684, 10136, 10492, 36925, 36012, 33505, 18424, 11354, 10307, 19004, 73664, 10139, 88342, 119, 102]",0
39,"[10117, 28447, 56353, 10134, 20136, 112, 187, 48775, 10123, 119, 102]","[10117, 56353, 48775, 10123, 10134, 10472, 10142, 20136, 119, 102]",2
40,"[54844, 117, 10105, 11487, 10108, 20506, 33526, 65744, 11387, 24376, 42254, 10798, 23590, 11084, 12976, 10134, 39890, 119, 102]","[10117, 11487, 10108, 20506, 11030, 104213, 11337, 82112, 68507, 21257, 17903, 10146, 25973, 119, 102]",2
41,"[42047, 10165, 10231, 18489, 10260, 10119, 14900, 10113, 10110, 11598, 11680, 10246, 56382, 10460, 10139, 41960, 11197, 102]","[10159, 18489, 10176, 16266, 19503, 11245, 13003, 10110, 26997, 119, 102]",2
42,"[781, 34653, 10502, 11076, 31552, 11689, 37006, 763, 71902, 84138, 10278, 92305, 10502, 825, 11145, 85544, 829, 10502, 38498, 11884, 13378, 11689, 65760, 10861, 119, 102]","[21630, 70273, 10730, 14403, 29983, 35660, 59731, 13080, 119, 102]",1
43,"[87104, 12538, 188, 86785, 13439, 13641, 21833, 38931, 10419, 12361, 101892, 10131, 10500, 26101, 119, 102]","[87104, 12538, 21833, 10165, 81066, 119, 102]",2
44,"[10882, 11695, 10146, 110182, 21418, 117, 10261, 10944, 59251, 11762, 72760, 10111, 23819, 10151, 25432, 10169, 12991, 119, 102]","[10882, 11695, 10146, 110182, 47798, 112, 188, 10128, 10261, 11337, 10347, 16197, 10114, 13574, 11131, 10108, 10105, 72760, 119, 102]",0
45,"[10117, 11598, 28248, 13844, 12694, 136, 22151, 11045, 38937, 119, 102]","[11045, 38937, 75354, 42536, 10978, 10105, 91531, 13844, 12694, 119, 102]",1
46,"[11590, 34467, 48056, 95179, 10114, 20818, 83438, 119, 102]","[11590, 34467, 10134, 10472, 93644, 83438, 119, 102]",0
47,"[107, 12882, 20442, 24699, 49501, 10189, 20442, 16745, 23252, 15862, 22205, 34420, 112, 188, 23252, 10380, 11206, 117, 173, 10237, 136, 107, 10261, 11257, 10976, 16376, 119, 102]","[13554, 23252, 15862, 22205, 34420, 112, 188, 11783, 11206, 119, 102]",0
48,"[80368, 852, 21835, 20429, 16940, 11549, 14251, 11072, 99866, 95730, 117, 10977, 50715, 34829, 16208, 898, 13718, 91405, 11554, 45968, 873, 11714, 12151, 57865, 16192, 876, 34315, 23074, 24734, 887, 18438, 35247, 14242, 119, 102]","[895, 13718, 34829, 855, 45753, 40340, 15552, 11072, 887, 56523, 15552, 52398, 15837, 920, 102]",1
49,"[11065, 10529, 10114, 33734, 11222, 10271, 114, 119, 102]","[11065, 17367, 10114, 23392, 11222, 10271, 10135, 24963, 119, 102]",0
50,"[10657, 117, 146, 11419, 60582, 19151, 10162, 117, 10146, 54193, 42253, 119, 102]","[107, 10657, 106, 107, 146, 171, 46714, 10950, 10106, 62868, 119, 102]",0
51,"[150, 27019, 10133, 18087, 122, 117, 53100, 46757, 10107, 11037, 15694, 40762, 20934, 23315, 18939, 12589, 11282, 10339, 10741, 10679, 11471, 17489, 29820, 15149, 14266, 11471, 64208, 10280, 10775, 11471, 10442, 119, 102]","[63710, 10132, 86108, 14266, 11471, 29820, 15149, 13922, 22032, 10525, 10637, 10741, 10679, 17489, 29820, 15149, 11471, 10133, 119, 102]",1
52,"[5614, 7160, 4399, 8472, 3616, 4501, 2146, 6171, 6166, 5718, 4890, 5286, 1882, 102]","[5614, 7160, 2078, 5718, 2179, 2751, 2767, 4352, 8472, 2833, 2670, 8472, 1882, 102]",2
53,"[10236, 11038, 80121, 10736, 86452, 10338, 10290, 50302, 48520, 10107, 60226, 10151, 10140, 56386, 15698, 47799, 86830, 10139, 10315, 15006, 105070, 117, 10139, 52559, 107594, 10115, 10130, 10139, 35434, 10886, 117, 14726, 117, 12796, 17457, 75621, 10130, 17457, 52132, 10107, 53775, 10136, 11639, 27788, 26645, 119, 102]","[10912, 10338, 187, 10269, 15577, 34294, 10307, 10128, 92367, 10211, 10315, 15006, 11719, 117, 10304, 15484, 42985, 13653, 119, 102]",0
54,"[34118, 16206, 10374, 10590, 10160, 80509, 10135, 10105, 71126, 16903, 117, 10111, 16288, 131, 107, 10357, 12415, 26261, 131, 112, 13646, 42141, 10107, 42536, 119, 112, 12689, 146, 112, 10323, 10590, 56294, 119, 102]","[80509, 10124, 21586, 10142, 12976, 44936, 119, 102]",1
55,"[13307, 36390, 118, 118, 10345, 14942, 117, 10345, 104429, 118, 118, 11155, 10134, 169, 11356, 11552, 107034, 10129, 136, 136, 10111, 12864, 11552, 16374, 11143, 119, 102]","[16374, 11143, 10124, 10105, 10893, 11356, 10189, 10393, 17038, 45548, 119, 102]",2
56,"[26467, 117, 10435, 10105, 10635, 117, 10271, 10134, 10106, 10105, 32650, 19503, 41924, 10112, 10106, 18830, 119, 29263, 12630, 39854, 10410, 112, 187, 30113, 25525, 117, 10571, 17446, 12558, 63800, 10107, 136, 146, 171, 46714, 119, 102]","[12882, 10271, 10134, 57786, 10106, 12864, 12723, 117, 38199, 10142, 19626, 10114, 23669, 12436, 136, 102]",2
57,"[12373, 177, 19540, 10374, 10114, 10149, 10271, 10111, 10380, 177, 12820, 16868, 30455, 40843, 10114, 10149, 10271, 10111, 10689, 10149, 10105, 10689, 10149, 10105, 63039, 10689, 13658, 47372, 10870, 10689, 10293, 30599, 10111, 10293, 177, 27874, 10531, 10924, 177, 112, 181, 19090, 10114, 10529, 11152, 31361, 93103, 10230, 14499, 10106, 102]","[146, 10529, 14794, 14628, 169, 16138, 10142, 35651, 10230, 119, 102]",1
58,"[112, 11149, 30811, 169, 16745, 17339, 13149, 37413, 10978, 10485, 11731, 10419, 119, 102]","[13229, 11731, 10419, 10124, 10380, 104904, 10189, 10833, 112, 187, 17339, 13149, 16219, 10169, 43477, 10230, 11948, 11600, 110685, 11405, 119, 102]",1
59,"[104390, 117, 82808, 18745, 10301, 10472, 10893, 16745, 59230, 92503, 10108, 12541, 10157, 10473, 10379, 10301, 36981, 10105, 95499, 81467, 10108, 11356, 10454, 17001, 10111, 14042, 119, 102]","[14600, 82808, 18745, 10301, 81467, 10108, 17001, 10111, 14042, 117, 10111, 10455, 17293, 10301, 16683, 119, 102]",1
60,"[93495, 74755, 77156, 15858, 10110, 18523, 117, 11464, 62817, 11598, 24046, 10231, 13935, 41078, 21144, 10219, 11203, 10608, 112, 10119, 28793, 187, 112, 10176, 22166, 119, 102]","[149, 112, 62817, 24931, 28522, 10141, 28793, 10355, 169, 14444, 13991, 119, 102]",0
61,"[11593, 112, 187, 14161, 10338, 14541, 27920, 57921, 10230, 173, 16575, 10171, 10114, 15078, 14577, 119, 102]","[11891, 29766, 169, 14161, 10338, 119, 102]",2
62,"[21585, 16141, 24027, 771, 10700, 59901, 11693, 23927, 59901, 35849, 10582, 119, 102]","[42678, 10658, 16141, 68181, 28340, 29336, 11870, 13879, 15450, 31898, 24728, 11749, 788, 28241, 46413, 119, 102]",0
63,"[13186, 14539, 36777, 29067, 17054, 12382, 10166, 26534, 17681, 10115, 19386, 10615, 119, 102]","[63679, 14539, 36777, 29067, 17054, 10790, 10166, 11354, 10599, 17681, 93677, 119, 102]",2
64,"[27304, 10429, 752, 11341, 10429, 10210, 59901, 10502, 32388, 15995, 27191, 67211, 788, 78238, 12441, 10502, 10289, 85829, 59901, 111171, 14472, 11509, 102]","[16849, 793, 40828, 11852, 99777, 11341, 772, 76924, 10502, 10863, 766, 32388, 15995, 119, 102]",2
65,"[16849, 93329, 94656, 59901, 105312, 89364, 10535, 59901, 49506, 100289, 10210, 41315, 10863, 58596, 22918, 10210, 22198, 788, 10502, 35849, 34802, 10382, 119, 102]","[11722, 53326, 10429, 16849, 106024, 76295, 14914, 99777, 20137, 48398, 119, 102]",2
66,"[523, 47151, 14781, 10122, 10956, 12528, 79909, 10696, 12662, 34848, 117, 36313, 557, 10205, 89094, 546, 546, 10510, 58758, 76135, 15413, 549, 543, 10913, 10513, 30318, 33655, 10752, 10122, 10387, 10783, 11148, 24725, 10332, 13251, 33930, 10191, 117, 543, 558, 41410, 36896, 558, 109494, 14149, 24905, 10752, 558, 30318, 11016, 10636, 30578, 10122, 562, 101937, 13157, 11977, 15977, 13251, 33930, 10191, 117, 16892, 109286, 546, 10510, 58758, 88177, 22789, 15977, 109494, 14149, 108552, 38569, 21536, 96533, 91056, 10122, 562, 101937, 13157, 14961, 119, 102]","[52929, 36313, 557, 10205, 89094, 546, 10375, 54187, 17969, 13359, 117, 37813, 543, 30213, 10409, 16541, 61396, 16892, 15888, 10191, 58852, 10344, 109494, 14149, 108552, 119, 102]",0
67,"[10117, 15767, 73931, 30676, 10188, 169, 10751, 14890, 73099, 48865, 24069, 28841, 11195, 21630, 12483, 10160, 10105, 33572, 117, 10668, 10108, 169, 54963, 13328, 36500, 29329, 106543, 104215, 10107, 10114, 18090, 17920, 10114, 15217, 26647, 42254, 85688, 117, 16863, 11084, 10114, 10105, 12483, 12639, 10689, 16871, 119, 102]","[10117, 73931, 30676, 10188, 169, 14890, 73099, 48865, 24069, 28841, 11195, 21630, 12483, 10160, 10105, 33572, 117, 11419, 10451, 62932, 62596, 169, 54963, 13328, 36500, 29329, 106543, 104215, 10107, 10114, 18090, 17920, 10114, 42254, 26647, 10111, 11059, 10114, 13574, 11345, 10491, 119, 102]",1
68,"[19372, 117, 105225, 12174, 10347, 58750, 10114, 12676, 10479, 10529, 19034, 10590, 82495, 117, 10345, 10160, 16298, 19616, 10454, 14459, 132, 10114, 12676, 10491, 12089, 10249, 117, 10345, 10571, 12089, 10296, 132, 10345, 11152, 35103, 11155, 20324, 119, 102]","[10117, 12089, 10108, 84278, 10124, 12089, 10296, 10146, 11206, 119, 102]",1
69,"[10159, 17217, 13116, 10168, 13987, 13993, 76344, 10575, 10110, 12501, 10554, 10141, 20514, 12097, 10801, 10141, 14443, 10168, 13111, 117, 10322, 10109, 38809, 10131, 16205, 21144, 10608, 112, 10154, 182, 112, 62382, 10112, 10801, 10104, 180, 112, 94526, 119, 102]","[10282, 182, 112, 61872, 10112, 10801, 46718, 10608, 112, 10154, 182, 112, 169, 34187, 63598, 11809, 119, 102]",1
70,"[10159, 30016, 39928, 10321, 118, 188, 118, 11117, 10126, 11859, 54478, 136, 102]","[10159, 30016, 118, 39928, 88674, 10113, 118, 188, 118, 11117, 172, 112, 57822, 136, 102]",0
71,"[30694, 10649, 25238, 469, 20146, 70887, 30645, 465, 54772, 20736, 91123, 10781, 10649, 474, 60846, 64205, 29790, 117, 29550, 11698, 452, 19582, 28506, 54830, 85422, 40680, 483, 35790, 100627, 465, 31625, 84236, 47664, 63444, 18015, 48884, 11698, 69670, 11883, 15503, 441, 68869, 17762, 107089, 10470, 62488, 13140, 17420, 54857, 78475, 10484, 24282, 465, 31625, 54772, 12526, 55197, 10720, 10487, 480, 20660, 20146, 46022, 11164, 36038, 10368, 463, 24282, 10781, 35710, 13140, 76597, 21263, 99287, 478, 102934, 11361, 11995, 33635, 37528, 13517, 119, 102]","[15503, 441, 68869, 17762, 107089, 58317, 111053, 76209, 18532, 95250, 469, 14669, 70887, 59783, 37822, 11262, 437, 111052, 111052, 29554, 474, 60846, 64205, 119, 102]",0
72,"[10167, 10531, 28944, 117, 45749, 13308, 83007, 12014, 10114, 32635, 17216, 10124, 11850, 45749, 32560, 119, 102]","[13308, 83007, 13383, 12014, 10114, 17216, 119, 102]",0
73,"[517, 32001, 101351, 92805, 26651, 136, 118, 118, 527, 10292, 94234, 63307, 10625, 10375, 20216, 21190, 71787, 14748, 13390, 17961, 33649, 14397, 10277, 29065, 10648, 136, 85904, 13613, 12528, 10385, 12388, 52928, 117, 71816, 136, 540, 56122, 86023, 10375, 27878, 10517, 13613, 12528, 10385, 37410, 40362, 36697, 119, 11712, 12064, 558, 20785, 46502, 17257, 28354, 10625, 96195, 52685, 13519, 119, 102]","[522, 41342, 10823, 10987, 10375, 27878, 10517, 117, 15692, 71816, 22121, 118, 11663, 57804, 17204, 119, 102]",0
